region_id,region_name,region_type,boundary,population,avg_income,social_density,demand_index,updated_at
1,New York Metro,metro,"POLYGON ((-74.3 40.4, -73.6 40.4, -73.6 41.0, -74.3 41.0, -74.3 40.4))",20140000,82000,18.4,91,2026-06-29T21:44:58Z
2,Los Angeles Basin,metro,"POLYGON ((-118.7 33.7, -117.6 33.7, -117.6 34.3, -118.7 34.3, -118.7 33.7))",13200000,68000,22.1,87,2026-06-29T21:44:58Z
3,Chicago Metro,metro,"POLYGON ((-88.4 41.4, -87.5 41.4, -87.5 42.2, -88.4 42.2, -88.4 41.4))",9500000,65000,14.7,78,2026-06-29T21:44:58Z
4,Dallas-Fort Worth,metro,"POLYGON ((-97.5 32.5, -96.5 32.5, -96.5 33.2, -97.5 33.2, -97.5 32.5))",7700000,63000,13.2,74,2026-06-29T21:44:58Z
5,Houston Metro,metro,"POLYGON ((-95.8 29.4, -94.9 29.4, -94.9 30.2, -95.8 30.2, -95.8 29.4))",7200000,60000,12.8,71,2026-06-29T21:44:58Z
6,Washington DC Metro,metro,"POLYGON ((-77.5 38.6, -76.8 38.6, -76.8 39.1, -77.5 39.1, -77.5 38.6))",6400000,88000,16.5,83,2026-06-29T21:44:58Z
7,Miami-South Florida,metro,"POLYGON ((-80.5 25.5, -80.0 25.5, -80.0 26.3, -80.5 26.3, -80.5 25.5))",6200000,55000,19.3,80,2026-06-29T21:44:58Z
8,Philadelphia Metro,metro,"POLYGON ((-75.5 39.8, -74.9 39.8, -74.9 40.2, -75.5 40.2, -75.5 39.8))",6100000,67000,11.9,69,2026-06-29T21:44:58Z
9,Atlanta Metro,metro,"POLYGON ((-84.8 33.5, -84.0 33.5, -84.0 34.2, -84.8 34.2, -84.8 33.5))",6100000,62000,15.6,76,2026-06-29T21:44:58Z
10,Phoenix Metro,metro,"POLYGON ((-112.6 33.2, -111.6 33.2, -111.6 33.8, -112.6 33.8, -112.6 33.2))",5000000,58000,11.4,67,2026-06-29T21:44:58Z
11,Bay Area (SF),metro,"POLYGON ((-122.6 37.2, -121.7 37.2, -121.7 38.0, -122.6 38.0, -122.6 37.2))",4700000,112000,24.7,95,2026-06-29T21:44:58Z
12,Seattle Metro,metro,"POLYGON ((-122.5 47.3, -121.9 47.3, -121.9 47.9, -122.5 47.9, -122.5 47.3))",4100000,91000,20.3,88,2026-06-29T21:44:58Z
13,Boston Metro,metro,"POLYGON ((-71.5 42.1, -70.8 42.1, -70.8 42.6, -71.5 42.6, -71.5 42.1))",4900000,85000,17.8,84,2026-06-29T21:44:58Z
14,Denver Metro,metro,"POLYGON ((-105.1 39.5, -104.6 39.5, -104.6 40.0, -105.1 40.0, -105.1 39.5))",2900000,72000,13.9,73,2026-06-29T21:44:58Z
15,Austin Metro,metro,"POLYGON ((-97.9 30.1, -97.4 30.1, -97.4 30.6, -97.9 30.6, -97.9 30.1))",2300000,79000,21.5,89,2026-06-29T21:44:58Z
16,Pacific Northwest,region,"POLYGON ((-124.5 42.0, -116.0 42.0, -116.0 49.0, -124.5 49.0, -124.5 42.0))",9800000,74000,16.2,77,2026-06-29T21:44:58Z
17,Sun Belt South,region,"POLYGON ((-100.0 25.0, -80.0 25.0, -80.0 33.0, -100.0 33.0, -100.0 25.0))",38000000,56000,10.8,65,2026-06-29T21:44:58Z
18,Great Lakes Midwest,region,"POLYGON ((-92.0 40.5, -80.5 40.5, -80.5 47.5, -92.0 47.5, -92.0 40.5))",26000000,60000,9.3,60,2026-06-29T21:44:58Z
19,Mountain West,region,"POLYGON ((-116.0 31.0, -104.0 31.0, -104.0 49.0, -116.0 49.0, -116.0 31.0))",12000000,64000,11.1,63,2026-06-29T21:44:58Z
20,Northeast Corridor,region,"POLYGON ((-77.5 37.5, -69.8 37.5, -69.8 45.0, -77.5 45.0, -77.5 37.5))",55000000,78000,17.6,86,2026-06-29T21:44:58Z
